"id","pid","name","name_de","level","path_text"
"150","4","Glowplug Controller","Glühbirnen-Steuergerät","l3","Commodity > Electronics > Glowplug Controller"
"151","7","Grommet","Durchführung","l3","Commodity > General > Grommet"
"152","6","Head Lamp","Scheinwerfer","l3","Commodity > Exterior > Head Lamp"
"153","6","Head Lamp (AFS)","Scheinwerfer mit adaptivem Frontbeleuchtungssystem (AFS)","l3","Commodity > Exterior > Head Lamp (AFS)"
"154","4","Headlamp","Scheinwerfer","l3","Commodity > Electronics > Headlamp"
"155","4","Head Lamp ECU","Steuergerät für Scheinwerfer","l3","Commodity > Electronics > Head Lamp ECU"
"156","4","Headlamp Levelling ECU","Leuchtweitenregulierung-Steuergerät","l3","Commodity > Electronics > Headlamp Levelling ECU"
"157","8","Headliner","Dachhimmel","l3","Commodity > Interior > Headliner"
"158","8","Headrest","Kopfstütze","l3","Commodity > Interior > Headrest"
"159","4","Head Up Display","Headup-Display","l3","Commodity > Electronics > Head Up Display"
"160","4","Heater","Heizung","l3","Commodity > Electronics > Heater"
"162","2","Thermal Shielding","Wärmeschutz","l3","Commodity > Body > Thermal Shielding"
"163","6","High-Mounted Stop Lamp","Hochmontierte Bremsleuchte","l3","Commodity > Exterior > High-Mounted Stop Lamp"
"164","2","Hinge","Scharnier","l3","Commodity > Body > Hinge"
"165","4","Horn","Hupe","l3","Commodity > Electronics > Horn"
"166","4","HVAC Blower Motor","Gebläse-Heizungs-Lüftungs-Klimaanlage (HLK)-Motor","l3","Commodity > Electronics > HVAC Blower Motor"
"167","5","HV Battery Case","Hochvolt-Batteriegehäuse","l3","Commodity > E-Powertrain > HV Battery Case"
"168","5","HV Battery Cell/Module","HV-Batteriezelle/-Modul","l3","Commodity > E-Powertrain > HV Battery Cell/Module"
"169","5","HV Battery Cooling/Heating System","HV-Batterie-Kühl-/Heizsystem","l3","Commodity > E-Powertrain > HV Battery Cooling/Heating System"
"170","5","HV Battery Pack/System","HV-Batteriepaket/-System","l3","Commodity > E-Powertrain > HV Battery Pack/System"
"171","5","HV Battery Related Products","HV Battery Related Products","l3","Commodity > E-Powertrain > HV Battery Related Products"
"172","4","HV/EV ECU","Steuergerät HV/EV","l3","Commodity > Electronics > HV/EV ECU"
"173","9","Ignition Coil","Zündspule","l3","Commodity > Powertrain > Ignition Coil"
"174","8","Door Handle","Türgriff","l3","Commodity > Interior > Door Handle"
"175","8","Instrument Panel","Instrumententafel","l3","Commodity > Interior > Instrument Panel"
"176","9","Intake Manifold","Ansaugkrümmer","l3","Commodity > Powertrain > Intake Manifold"
"177","9","Inter Cooler / Charge Air Cooler","Inter Cooler / Charge Air Cooler","l3","Commodity > Powertrain > Inter Cooler / Charge Air Cooler"
"178","8","Interior Lighting","Innenbeleuchtung","l3","Commodity > Interior > Interior Lighting"
"179","8","Interior Mirror","Innenraumspiegel","l3","Commodity > Interior > Interior Mirror"
"180","4","In-Vehicle Infotainment Unit","In-Vehicle Infotainment Unit","l3","Commodity > Electronics > In-Vehicle Infotainment Unit"
"181","5","Inverter","Wechselrichter","l3","Commodity > E-Powertrain > Inverter"
"182","4","Junction Box","Anschlussdose","l3","Commodity > Electronics > Junction Box"
"183","3","Key Cylinder / Steering Lock","Schlieüzylinder / Lenkradschloss","l3","Commodity > Chassis > Key Cylinder / Steering Lock"
"184","4","Keyless Entry / Start System","Schlüsselloses Zugangssystem / Startsystem","l3","Commodity > Electronics > Keyless Entry / Start System"
"185","8","Knee Airbag","Knie-Airbag","l3","Commodity > Interior > Knee Airbag"
"186","4","Knock Sensor","Klopfsensor","l3","Commodity > Electronics > Knock Sensor"
"187","4","Lane Keeping Assist System ECU","Lane Keeping Assist System ECU","l3","Commodity > Electronics > Lane Keeping Assist System ECU"
"188","4","Lever Combination Switch","Hebel-Kombischalter","l3","Commodity > Electronics > Lever Combination Switch"
"189","9","Transmission","Schaltgetriebe","l3","Commodity > Powertrain > Transmission"
"190","4","Meter","Meter","l3","Commodity > Electronics > Meter"
"191","4","Milliwave and Laser Radar / LiDAR","Milliwave and Laser Radar / LiDAR","l3","Commodity > Electronics > Milliwave and Laser Radar / LiDAR"
"192","6","Molding (Body Side)","Zier-/Schutzleiste (Karosserieseite)","l3","Commodity > Exterior > Molding (Body Side)"
"193","6","Molding (Exterior)","Formen/Formgebung (Auüenbereich)","l3","Commodity > Exterior > Molding (Exterior)"
"194","5","Motor Core","Motorkern","l3","Commodity > E-Powertrain > Motor Core"
"195","9","Muffler","Schalldämpfer","l3","Commodity > Powertrain > Muffler"
"196","4","OBD Interface","On-Board-Diagnose-Schnittstelle","l3","Commodity > Electronics > OBD Interface"
"197","4","Object Detection ECU","Object Detection ECU","l3","Commodity > Electronics > Object Detection ECU"
"198","4","Occupant Detection System","Insassen-Erkennungssystem","l3","Commodity > Electronics > Occupant Detection System"
"199","9","Oil Cooler","Ölkühler","l3","Commodity > Powertrain > Oil Cooler"
"200","9","Oil Filter","Ölfilter","l3","Commodity > Powertrain > Oil Filter"
"201","9","Oil Pan","Ölwanne","l3","Commodity > Powertrain > Oil Pan"
"202","9","Oil Pump","Ölpumpe","l3","Commodity > Powertrain > Oil Pump"
"203","9","Oil Strainer / Separator","älfilter / -trennwand","l3","Commodity > Powertrain > Oil Strainer / Separator"
"204","4","On-board Camera","On-board Camera","l3","Commodity > Electronics > On-board Camera"
"205","5","On-board Charger","On-board Charger","l3","Commodity > E-Powertrain > On-board Charger"
"206","4","Other Motor","Andere Maschine","l3","Commodity > Electronics > Other Motor"
"207","6","Outside Door Handle","Türgriff außen","l3","Commodity > Exterior > Outside Door Handle"
"208","4","Oxygen Sensor","Sauerstoffsensor","l3","Commodity > Electronics > Oxygen Sensor"
"209","4","Park Assist System","Park Assist System","l3","Commodity > Electronics > Park Assist System"
"210","3","Parking Brake","Feststellbremse","l3","Commodity > Chassis > Parking Brake"
"211","8","Passenger Airbag","Beifahrer-Airbag","l3","Commodity > Interior > Passenger Airbag"
"212","9","PCV Valve","PCV Valve","l3","Commodity > Powertrain > PCV Valve"
"213","8","Pedal","Pedal","l3","Commodity > Interior > Pedal"
"214","4","Pedal Sensor","Pedalsensor","l3","Commodity > Electronics > Pedal Sensor"
"215","8","Pedestrian Protection Airbag","Fuügänger-Schutz-Airbag","l3","Commodity > Interior > Pedestrian Protection Airbag"
"216","9","Piston","Kolbenbolzen","l3","Commodity > Powertrain > Piston"
"217","9","Piston Pin","Kolbenbolzen","l3","Commodity > Powertrain > Piston Pin"
"218","9","Piston Ring","Kolbenring","l3","Commodity > Powertrain > Piston Ring"
"219","4","Power Seat ECU","Sitz-Steuergerät","l3","Commodity > Electronics > Power Seat ECU"
"220","4","Power Sliding Door ECU","Steuerungseinheit für elektrisch betätigte Schiebetür","l3","Commodity > Electronics > Power Sliding Door ECU"
"221","3","Power Steering Assist Unit","Servolenkung","l3","Commodity > Chassis > Power Steering Assist Unit"
"222","4","Power Steering ECU","Servolenkungs-Steuergerät","l3","Commodity > Electronics > Power Steering ECU"
"223","3","Power Steering","Servolenkung","l3","Commodity > Chassis > Power Steering"
"224","4","Power Steering ","Servolenkung","l3","Commodity > Electronics > Power Steering "
"226","4","Power Tailgate / Trunk ECU","Elektrische Heckklappe / Kofferraum-Steuergerät","l3","Commodity > Electronics > Power Tailgate / Trunk ECU"
"227","4","Pre-crash Seat Belt ECU","Vorkollisions-Gurtsystem-Steuergerät","l3","Commodity > Electronics > Pre-crash Seat Belt ECU"
"228","4","Pressure Sensor","Drucksensor","l3","Commodity > Electronics > Pressure Sensor"
"229","9","Propshaft","Antriebswelle, Kardanwelle","l3","Commodity > Powertrain > Propshaft"
"230","3","Rack End","Spurstange","l3","Commodity > Chassis > Rack End"
"231","9","Radiator","Kühler","l3","Commodity > Powertrain > Radiator"
"232","4","Radiator Fan Controller","Lüfterregler für den Kühler","l3","Commodity > Electronics > Radiator Fan Controller"
"234","4","Rain / Light Sensor","Regen-/Lichtsensor","l3","Commodity > Electronics > Rain / Light Sensor"
"235","6","Rear Lamp","Heckleuchte","l3","Commodity > Exterior > Rear Lamp"
"236","5","Reduction Gear for EV","Reduction Gear for EV","l3","Commodity > E-Powertrain > Reduction Gear for EV"
"237","4","Relay / Fuse","Relais / Sicherung","l3","Commodity > Electronics > Relay / Fuse"
"238","5","Resolver","Auflösungswiderstand","l3","Commodity > E-Powertrain > Resolver"
"239","9","Rocker Arm","Kipphebel","l3","Commodity > Powertrain > Rocker Arm"
"240","6","Roof Rail","Dachschienen","l3","Commodity > Exterior > Roof Rail"
"241","8","Seat","Sitz","l3","Commodity > Interior > Seat"
"242","8","Seat Adjuster / Recliner","Sitzverstellung / Rücklehne","l3","Commodity > Interior > Seat Adjuster / Recliner"
"243","8","Seat Belt","Sicherheitsgurt","l3","Commodity > Interior > Seat Belt"
"244","8","Seat Belt Pretensioner","Gurtstraffer","l3","Commodity > Interior > Seat Belt Pretensioner"
"245","8","Seat Frame","Sitzrahmen","l3","Commodity > Interior > Seat Frame"
"246","8","Seat Lumbar Support","Sitz-Lendenwirbelstütze","l3","Commodity > Interior > Seat Lumbar Support"
"247","4","Seat Motor","Sitzmotor","l3","Commodity > Electronics > Seat Motor"
"248","8","Seat Trim","Sitzbezug","l3","Commodity > Interior > Seat Trim"
"249","9","Shift Lever","Schalthebel","l3","Commodity > Powertrain > Shift Lever"
"250","3","Shock Absorber","Stoüdämpfer","l3","Commodity > Chassis > Shock Absorber"
"251","8","Side Airbag","Seitenairbag","l3","Commodity > Interior > Side Airbag"
"252","2","Side Door Lock","Seiten-Türschloss","l3","Commodity > Body > Side Door Lock"
"253","2","Dorr","Schloss","l3","Commodity > Body > Dorr"
"254","2","Side Impact Beam","Seitenaufprall-Träger","l3","Commodity > Body > Side Impact Beam"
"255","9","Spark Plug","Zündkerze","l3","Commodity > Powertrain > Spark Plug"
"256","4","Speed Sensor","Drehzahlsensor","l3","Commodity > Electronics > Speed Sensor"
"257","6","Spoiler","Spoiler","l3","Commodity > Exterior > Spoiler"
"258","3","Stabilizer","Stabilisator","l3","Commodity > Chassis > Stabilizer"
"259","9","Starter Motor","Anlasser","l3","Commodity > Powertrain > Starter Motor"
"260","3","Steering","Lenkung","l3","Commodity > Chassis > Steering"
"261","3","Steering Column / Shaft","Lenksäule / -welle","l3","Commodity > Chassis > Steering Column / Shaft"
"263","3","Steering Knuckle","Schwenklager","l3","Commodity > Chassis > Steering Knuckle"
"264","4","Steering Sensor","Lenksensor","l3","Commodity > Electronics > Steering Sensor"
"266","8","Steering Wheel","Lenkrad","l3","Commodity > Interior > Steering Wheel"
"267","4","Stop Start System ECU","Stop-Start-System-Steuergerät","l3","Commodity > Electronics > Stop Start System ECU"
"268","3","Subframe / Suspension Member","Hilfsrahmen/Aufhängungsträger","l3","Commodity > Chassis > Subframe / Suspension Member"
"269","2","Roof","Dach","l3","Commodity > Body > Roof"
"270","8","Sun Visor","Sonnenblende","l3","Commodity > Interior > Sun Visor"
"271","3","Joint","Gelenk","l3","Commodity > Chassis > Joint"
"272","3","Suspension Control Arm","Fahrwerksschwenklager","l3","Commodity > Chassis > Suspension Control Arm"
"273","3","Suspension Module / System","Fahrwerksmodul / -system","l3","Commodity > Chassis > Suspension Module / System"
"274","3","Suspension Spring","Federungfeder","l3","Commodity > Chassis > Suspension Spring"
"275","4","Switch","Schalter","l3","Commodity > Electronics > Switch"
"276","9","Synchronizer","Synchroneinrichtung","l3","Commodity > Powertrain > Synchronizer"
"277","2","Tailgate/Trunk Closure","Heckklappe-/Kofferraumschloss","l3","Commodity > Body > Tailgate/Trunk Closure"
"278","4","Telematics","Telematik","l3","Commodity > Electronics > Telematics"
"279","4","Temperature Sensor","Temperatursensor","l3","Commodity > Electronics > Temperature Sensor"
"280","9","Thermostat","Thermostat","l3","Commodity > Powertrain > Thermostat"
"281","9","Throttle Body","Drosselklappe","l3","Commodity > Powertrain > Throttle Body"
"282","3","Tie Rod End","Spurstangenkopf","l3","Commodity > Chassis > Tie Rod End"
"283","9","Timing Belt / Timing Chain","Zahnriemen / Steuerkette","l3","Commodity > Powertrain > Timing Belt / Timing Chain"
"284","9","Timing System","Timing System","l3","Commodity > Powertrain > Timing System"
"285","3","Tire","Reifen","l3","Commodity > Chassis > Tire"
"286","4","Tire Pressure Monitoring System","Reifendruck-Kontrollsystem","l3","Commodity > Electronics > Tire Pressure Monitoring System"
"287","3","Tire Valve Core","Ventilkern","l3","Commodity > Chassis > Tire Valve Core"
"288","9","Torque Converter","Drehmomentwandler","l3","Commodity > Powertrain > Torque Converter"
"289","9","Torsional Damper","Torsionsdämpfer","l3","Commodity > Powertrain > Torsional Damper"
"290","5","Traction Motor / E-Axle","Traction Motor / E-Axle","l3","Commodity > E-Powertrain > Traction Motor / E-Axle"
"291","3","Transfer","übertragung","l3","Commodity > Chassis > Transfer"
"292","4","Transmission ECU","Getriebe-Steuergerät","l3","Commodity > Electronics > Transmission ECU"
"293","9","Transmission Seal","Getriebedichtung","l3","Commodity > Powertrain > Transmission Seal"
"294","9","Transmission Shaft","Getriebewelle","l3","Commodity > Powertrain > Transmission Shaft"
"295","8","Trunk / Tailgate Trim","Kofferraum- / Heckklappenverkleidung","l3","Commodity > Interior > Trunk / Tailgate Trim"
"296","9","Turbo / Supercharger","Turbo / Supercharger","l3","Commodity > Powertrain > Turbo / Supercharger"
"297","3","Vacuum Pump","Vakuum-Tandempumpe","l3","Commodity > Chassis > Vacuum Pump"
"298","9","Valve Guide / Valve Seat","Ventilführung / Ventilsitz","l3","Commodity > Powertrain > Valve Guide / Valve Seat"
"299","9","Valve Spring","Ventilfeder","l3","Commodity > Powertrain > Valve Spring"
"300","4","Variable Valve Timing EDU","Ventilsteuerung EDU mit variabler Steuerzeit","l3","Commodity > Electronics > Variable Valve Timing EDU"
"301","9","V-Belt","Keilriemen","l3","Commodity > Powertrain > V-Belt"
"302","4","Vehicle Control Unit","Vehicle Control Unit","l3","Commodity > Electronics > Vehicle Control Unit"
"303","4","Vehicle Stability Control","Elektronische Stabilitätskontrolle (ESC)","l3","Commodity > Electronics > Vehicle Stability Control"
"304","9","Water Pump","Wasserpumpe","l3","Commodity > Powertrain > Water Pump"
"305","6","Weatherstrip","Dichtungsband","l3","Commodity > Exterior > Weatherstrip"
"306","3","Wheel","Felgen","l3","Commodity > Chassis > Wheel"
"307","3","Wheel Bearing","Wheel Bearing","l3","Commodity > Chassis > Wheel Bearing"
"308","3","Wheel Cover / Cap","Radabdeckung / Kappe","l3","Commodity > Chassis > Wheel Cover / Cap"
"309","6","Window Glass","Fensterglas","l3","Commodity > Exterior > Window Glass"
"310","2","Window ","Fenster","l3","Commodity > Body > Window "
"311","6","Window Washer","Scheibenwaschanlage","l3","Commodity > Exterior > Window Washer"
"312","2","Wiper System","Scheibenwischsystem","l3","Commodity > Body > Wiper System"
"314","4","Wiring Harness","Kabelbaum","l3","Commodity > Electronics > Wiring Harness"
"315","191","0.18um SiGe Chip for Rear side 24GHz radar","0,18ÿ¬µm SiGe-Chip für rückseitiges 24GHz-Radar","l4","Commodity > Electronics > Milliwave and Laser Radar / LiDAR > 0.18um SiGe Chip for Rear side 24GHz radar"
"316","15","100W AC inverter","100W-Wechselstromwandler","l4","Commodity > Electronics > AC Inverter (for Home Appliances) > 100W AC inverter"
